Summary level,Program label,Program,Sub-program,Name,Code,Subsidized units available,% Occupied,# Reported,% Reported,Average months since report,% moved in past year,Number of people per unit,Number of people: total,Rent per month ($$),Spending per month ($$),Household income per year,Household income per year per person,"% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more",% Households where wages are major source of income,% Households where welfare is major source of income,% Households with other major sources of income,% of local median (Household income),% very low income,% extremely low income,% 2+ adults with children,% 1 adult with children,% female head,% female head with children,"% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households",% 24 years or less (Head or spouse),% 25 to 49 years (Head or spouse),% 51 to 60 (Head or spouse),% 62 or more (Head or spouse),% 85 or more (Head or spouse),% Minority,% Black,% Native American,% Asian or Pacific Islander,% Hispanic,Average months on waiting list,Average months since moved in,% with utility allowance,Average utility allowance $$,% 0 - 1 bedrooms:,% 2 bedrooms,% 3+ bedrooms,% Overhoused,% in poverty (Census tract),% minority (Census tract),% single family owners (Census tract),Congressional District,CBSA,PLACE,Latitude,Longitude,State,PHA Total Units,HA category
7,Public Housing,2,A,NY Albany County Census Tract 1,36001000100,95,98,93,100,6,6,2.6,239,475,463,20782,8087,8,10,20,19,43,52,2,46,32,86,53,8,59,89,61,23,25,11,2,61,24,13,2,95,84,0,0,11,26,72,92,149,6,43,51,20,17,57,33,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 2,36001000200,543,98,533,100,6,11,2.2,1153,320,463,14628,6768,12,32,20,13,23,42,8,50,23,91,75,2,46,69,43,30,35,15,6,63,22,10,1,95,84,0,1,12,25,71,30,104,44,22,34,9,35,87,5,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 3,36001000300,3,98,3,100,5,-4,-4,-4,-4,-4,-4,8578,-4,-4,-4,-4,-4,-4,-4,-4,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,42,49,-4,-4,-4,-4,-4,-4,24,45,26,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 4.01,36001000401,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 4.03,36001000403,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 4.04,36001000404,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 5.01,36001000501,184,98,181,100,6,13,1,187,312,463,14579,14111,1,43,24,10,22,7,2,91,27,90,70,0,0,50,0,84,31,41,0,1,20,80,12,45,33,0,4,9,11,74,0,-1,100,0,0,0,26,44,16,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 5.02,36001000502,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 6,36001000600,4,98,4,100,8,-4,-4,-4,-4,-4,-4,4032,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1,67,-4,-4,-4,-4,-4,-4,41,49,8,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 7,36001000700,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 8,36001000800,160,98,157,100,9,91,1.1,167,296,463,12722,11961,4,42,32,10,11,6,3,91,24,96,81,0,0,50,0,90,26,41,0,1,24,75,6,76,64,0,1,13,75,3,0,-1,100,0,0,0,35,74,5,A,10580,01000,-1,-1,NY,-1,A
