Summary level,Program label,Program,Sub-program,Name,Code,Subsidized units available,% Occupied,# Reported,% Reported,Average months since report,% moved in past year,Number of people per unit,Number of people: total,Rent per month ($$),Spending per month ($$),Household income per year,Household income per year per person,"% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more",% Households where wages are major source of income,% Households where welfare is major source of income,% Households with other major sources of income,% of local median (Household income),% very low income,% extremely low income,% 2+ adults with children,% 1 adult with children,% female head,% female head with children,"% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households",% 24 years or less (Head or spouse),% 25 to 49 years (Head or spouse),% 51 to 60 (Head or spouse),% 62 or more (Head or spouse),% 85 or more (Head or spouse),% Minority,% Black,% Native American,% Asian or Pacific Islander,% Hispanic,Average months on waiting list,Average months since moved in,% with utility allowance,Average utility allowance $$,% 0 - 1 bedrooms:,% 2 bedrooms,% 3+ bedrooms,% Overhoused,% in poverty (Census tract),% minority (Census tract),% single family owners (Census tract),Congressional District,CBSA,PLACE,Latitude,Longitude,State,PHA Total Units,HA category
7,Public Housing,2,A,NY Albany County Census Tract 1,36001000100,107,87,92,99,6,5,2.6,241,516,512,23191,8927,7,7,16,17,53,61,3,35,36,80,43,5,63,93,65,21,20,10,1,70,18,11,2,93,82,0,0,12,39,67,96,152,8,42,50,15,17,57,33,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 2,36001000200,613,87,528,99,6,10,2.2,1160,333,512,14920,6824,12,32,20,12,23,45,8,47,24,91,73,2,47,69,44,27,34,14,7,63,21,9,1,95,83,0,1,12,23,62,30,111,44,23,33,7,35,87,5,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 3,36001000300,3,87,3,99,7,-4,-4,-4,-4,-4,-4,7536,-4,-4,-4,-4,-4,-4,-4,-4,43,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1,56,-4,-4,-4,-4,-4,-4,24,45,26,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 4.01,36001000401,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 4.03,36001000403,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 4.04,36001000404,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 5.01,36001000501,211,87,182,99,7,8,1,189,300,512,13484,13053,3,38,31,12,16,6,3,92,26,95,74,0,0,49,0,78,29,38,0,1,19,80,12,43,30,0,4,10,12,70,0,-1,100,0,0,0,26,44,16,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 5.02,36001000502,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 6,36001000600,5,87,4,99,7,-4,-4,-4,-4,-4,-4,4268,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1,56,-4,-4,-4,-4,-4,-4,41,49,8,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 7,36001000700,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
